Macon,Georgia,153691,255.10,32.5050,-83.3960,30,-1,64.4
Madison,Wisconsin,245691,76.80,43.0878,-89.4301,47,38,45.2
Manchester,New Hampshire,110448,33.10,42.9847,-71.4439,48,-1,46.3
McAllen,Texas,138596,48.30,26.2185,-98.2461,49,-1,75.6
McKinney,Texas,156767,62.20,33.2012,-96.6680,23,-1,61.7
Memphis,Tennessee,656861,315.10,35.1035,-89.9785,33,-1,62.3
Mesa,Arizona,464704,136.50,33.4019,-111.7174,34,25,67
Mesquite,Texas,144416,46.00,32.7639,-96.5924,34,-1,64.1
Miami,Florida,430332,35.90,25.7752,-80.2086,76,59,75.9
Miami Gardens,Florida,112265,18.20,25.9489,-80.2436,40,43,75.9
Midland,Texas,128037,72.10,32.0299,-102.1097,36,-1,64.1
Milwaukee,Wisconsin,599642,96.10,43.0633,-87.9667,59,49,46.1
Minneapolis,Minnesota,407207,54.00,44.9633,-93.2683,65,58,44.9
Miramar,Florida,134989,29.50,25.9770,-80.3358,28,25,76.5
Mobile,Alabama,194675,139.10,30.6684,-88.1002,32,-1,67.5
Modesto,California,209286,36.90,37.6609,-120.9891,44,29,63.7
Montgomery,Alabama,200481,159.60,32.3463,-86.2686,25,-1,64.9
Moreno Valley,California,202976,51.30,33.9233,-117.2057,28,27,64.8
Murfreesboro,Tennessee,120954,55.30,35.8522,-86.4161,23,-1,59
Murrieta,California,108368,33.60,33.5719,-117.1907,25,-1,65.5
Naperville,Illinois,146128,38.80,41.7492,-88.1620,34,16,50.2
Nashville,Tennessee,644014,475.10,36.1718,-86.7850,26,23,59.1
New Haven,Connecticut,130282,18.70,41.3108,-72.9250,65,-1,53.6
New Orleans,Louisiana,384320,169.40,30.0686,-89.9390,56,-1,68.1
New York,New York,8491079,302.60,40.6643,-73.9385,88,84,54.7
Newark,New Jersey,280579,24.20,40.7242,-74.1726,78,65,54.8
Newport News,Virginia,182965,68.70,37.0760,-76.5217,32,26,60
Norfolk,Virginia,245428,54.10,36.9230,-76.2446,44,36,60
Norman,Oklahoma,118040,178.80,35.2406,-97.3453,28,-1,61.2
North Charleston,South Carolina,106749,76.60,32.8853,-80.0169,25,-1,65.7
North Las Vegas,Nevada,230788,101.30,36.2830,-115.0893,30,30,64.5
Norwalk,California,107096,9.70,33.9069,-118.0834,56,-1,65.4
Oakland,California,413775,55.90,37.7699,-122.2256,69,55,59.4
Oceanside,California,174558,41.20,33.2246,-117.3062,34,34,61.9
Odessa,Texas,114597,42.00,31.8804,-102.3434,38,-1,63.9
Oklahoma City,Oklahoma,620602,606.40,35.4671,-97.5137,32,16,60
Olathe,Kansas,133062,59.70,38.8843,-94.8188,26,12,55.2
Omaha,Nebraska,446599,127.10,41.2647,-96.0419,41,-1,50.6
Ontario,California,169089,49.90,34.0395,-117.6088,41,28,65.5
Orange,California,139812,24.80,33.8048,-117.8249,47,33,58.5
Orlando,Florida,262372,102.40,28.4159,-81.2988,39,33,72.3
Overland Park,Kansas,184525,74.80,38.8890,-94.6906,33,16,55.1
Oxnard,California,205437,26.90,34.2023,-119.2046,51,-1,59.4
Palm Bay,Florida,105838,65.70,27.9856,-80.6626,10,-1,73
Palmdale,California,158279,106.00,34.5913,-118.1090,21,-1,62.1
Pasadena,Texas,153887,42.80,29.6583,-95.1505,43,-1,68
Pasadena,California,140881,23.00,34.1606,-118.1396,62,-1,63.9
Paterson,New Jersey,146753,8.40,40.9147,-74.1628,79,48,52.2
Pearland,Texas,103441,47.50,29.5544,-95.2958,16,-1,69.6
Pembroke Pines,Florida,164626,33.10,26.0212,-80.3404,30,-1,75
Peoria,Arizona,166934,174.40,33.7877,-112.3111,24,7,68.1
Peoria,Illinois,115828,48.00,40.7523,-89.6171,37,-1,50.7
Philadelphia,Pennsylvania,1560297,134.10,40.0094,-75.1333,77,67,54.3
Phoenix,Arizona,1537058,516.70,33.5722,-112.0880,38,32,72.6
Pittsburgh,Pennsylvania,305412,55.40,40.4398,-79.9766,60,54,50.3
Plano,Texas,278480,71.60,33.0508,-96.7479,36,17,64.9
Pomona,California,153350,23.00,34.0586,-117.7613,48,35,62.5
Pompano Beach,Florida,106105,24.00,26.2426,-80.1290,44,34,75.9
Port St. Lucie,Florida,174110,114.00,27.2810,-80.3838,13,-1,73.1
Portland,Oregon,619360,133.40,45.5370,-122.6500,63,51,54.5
Providence,Rhode Island,179154,18.40,41.8231,-71.4188,76,48,50.4
Provo,Utah,114801,41.70,40.2453,-111.6448,46,31,51
Pueblo,Colorado,108423,53.60,38.2731,-104.6124,36,-1,52.7
Raleigh,North Carolina,439896,142.90,35.8302,-78.6414,29,23,59.3
Rancho Cucamonga,California,174305,39.90,34.1233,-117.5642,37,26,63.1
Reno,Nevada,236995,103.00,39.4745,-119.7765,36,28,50.8
Rialto,California,102741,22.40,34.1118,-117.3883,32,-1,61.1
Richardson,Texas,108617,28.60,32.9723,-96.7081,40,31,65.6
Richmond,Virginia,217853,59.80,37.5314,-77.4760,49,-1,57.7
Richmond,California,108565,30.10,37.9530,-122.3594,54,-1,58.4
Riverside,California,319504,81.10,33.9381,-117.3932,39,31,65.5
Rochester,New York,209983,35.80,43.1699,-77.6169,61,43,48.2
Rochester,Minnesota,111402,54.60,44.0154,-92.4772,30,-1,45.4
Rockford,Illinois,149123,61.10,42.2634,-89.0628,39,-1,49.3
Roseville,California,128615,36.20,38.7657,-121.3032,36,18,61.3
Round Rock,Texas,112744,34.10,30.5237,-97.6674,21,-1,35.5
Sacramento,California,485199,97.90,38.5666,-121.4686,43,34,60.8
Saint Paul,Minnesota,297640,52.00,44.9489,-93.1039,56,47,47.1
Salem,Oregon,161637,47.90,44.9237,-123.0231,40,30,53
Salinas,California,156677,23.20,36.6902,-121.6337,53,-1,56
Salt Lake City,Utah,190884,111.10,40.7785,-111.9314,55,43,52
San Antonio,Texas,1436697,460.90,29.4724,-98.5251,34,36,68.6
San Bernardino,California,215213,59.20,34.1393,-117.2953,39,38,64.1
San Diego,California,1381069,325.20,32.8153,-117.1350,49,37,64.2
San Francisco,California,852469,46.90,37.7751,-122.4193,84,80,57.1
San Jose,California,1015785,176.60,37.2969,-121.8193,48,41,57.1
San Mateo,California,102893,15.90,37.5542,-122.3131,63,-1,57.3
Sandy Springs,Georgia,101908,39.00,33.5615,-84.2270,26,26,59.6
Santa Ana,California,334909,27.30,33.7365,-117.8826,61,46,63.8
Santa Clara,California,122192,18.40,37.3646,-121.9679,56,-1,59.8
Santa Clarita,California,181557,52.70,34.4049,-118.5047,33,-1,61
Santa Maria,California,103410,22.80,34.9332,-120.4438,48,-1,57.3
Santa Rosa,California,174170,41.30,38.4468,-122.7061,42,28,59.1
Savannah,Georgia,144352,103.20,32.0025,-81.1536,41,-1,66.3
Scottsdale,Arizona,230512,183.90,33.6687,-111.8237,29,24,69.7
Seattle,Washington,668342,83.90,47.6205,-122.3509,71,57,52.8
Shreveport,Louisiana,198242,105.40,32.4670,-93.7927,29,-1,65.7
Simi Valley,California,126871,41.50,34.2669,-118.7485,37,-1,61.4
Sioux Falls,South Dakota,168586,73.00,43.5383,-96.7320,34,-1,45.5
South Bend,Indiana,101190,41.50,41.6769,-86.2690,42,-1,49.8
Spokane,Washington,212052,59.20,47.6736,-117.4166,45,35,47.3
Springfield,Missouri,165378,81.70,37.1942,-93.2913,35,-1,56.3
Springfield,Massachusetts,153991,31.90,42.1155,-72.5400,56,40,49
Springfield,Illinois,116809,59.50,39.7639,-89.6708,33,-1,53
St. Louis,Missouri,317419,61.90,38.6357,-90.2446,60,45,57.1
St. Petersburg,Florida,253693,61.70,27.7620,-82.6441,40,35,73
Stamford,Connecticut,128278,37.60,41.0799,-73.5460,51,-1,51.1
Sterling Heights,Michigan,131741,36.50,42.5812,-83.0303,31,-1,48.4
Stockton,California,302389,61.70,37.9763,-121.3133,40,28,61.4
Sunnyvale,California,149980,22.00,37.3858,-122.0263,55,40,59.5
Surprise,Arizona,126275,105.70,33.6706,-112.4527,18,-1,70.9
Syracuse,New York,144263,25.00,43.0410,-76.1436,57,-1,47.4
Tacoma,Washington,205159,49.70,47.2522,-122.4598,51,-1,53.5
Tallahassee,Florida,188107,100.20,30.4551,-84.2534,31,-1,67.2
Tampa,Florida,358699,113.40,27.9701,-82.4797,46,30,72.3
Temecula,California,109428,30.20,33.5019,-117.1246,28,-1,64.7
Tempe,Arizona,172816,39.90,33.3884,-111.9318,50,45,68.8
Thornton,Colorado,130307,34.80,39.9180,-104.9454,30,-1,46.7
Thousand Oaks,California,129342,55.00,34.1933,-118.8742,32,-1,62.7
Toledo,Ohio,281031,80.70,41.6641,-83.5819,43,-1,48.5
Topeka,Kansas,127215,60.20,39.0362,-95.6948,33,21,54
Torrance,California,148495,20.50,33.8350,-118.3414,61,37,62.1
Tucson,Arizona,527972,226.70,32.1543,-110.8711,39,34,68.4
Tulsa,Oklahoma,399682,196.80,36.1279,-95.9023,36,23,60.3
Tyler,Texas,101421,54.40,32.3500,-95.3000,32,-1,65.6
Vallejo,California,120228,30.70,38.1079,-122.2639,41,-1,58.5
Vancouver,Washington,169294,46.50,45.6372,-122.5965,40,-1,52.4
Ventura,California,109484,21.70,34.2681,-119.2550,72,43,61.4
Victorville,California,121901,73.20,34.5277,-117.3536,17,23,62
Virginia Beach,Virginia,450980,249.00,36.7793,-76.0240,31,20,59.9
Visalia,California,129281,36.20,36.3272,-119.3234,36,-1,63
Waco,Texas,130194,89.00,31.5601,-97.1860,33,-1,66.7
Warren,Michigan,135099,34.40,42.4929,-83.0250,41,-1,48.5
Washington,District of Columbia,658893,61.00,38.9041,-77.0171,74,71,53.8
Waterbury,Connecticut,109307,28.50,41.5585,-73.0367,47,-1,47.4
West Covina,California,108455,16.00,34.0559,-117.9099,41,-1,65
West Jordan,Utah,110920,32.50,40.6023,-112.0010,24,29,51.5
West Palm Beach,Florida,104031,55.30,26.7483,-80.1266,38,-1,74.7
West Valley City,Utah,134495,35.60,40.6885,-112.0118,33,-1,46.9
Westminster,Colorado,112090,31.60,39.8822,-105.0644,35,32,49.8
Wichita,Kansas,388413,159.30,37.6907,-97.3427,32,-1,56.2
Wichita Falls,Texas,105114,72.10,33.9067,-98.5259,28,-1,63
Wilmington,North Carolina,113657,51.50,34.2092,-77.8858,32,20,64
Winston–Salem,North Carolina,239269,132.40,36.1033,-80.2606,22,-1,39.5
Woodbridge,New Jersey,100824,24.50,40.5608,-74.2926,52,-1,51.2
Worcester,Massachusetts,183016,37.40,42.2695,-71.8078,54,35,46.7
Yonkers,New York,200667,18.00,40.9459,-73.8674,71,53,50
